open_time,open,high,low,close,volume,close_time
1719792000000,62766.10,62809.50,62766.00,62769.10,270.744,1719792059999
1719792060000,62769.10,62783.30,62757.50,62761.50,115.676,1719792119999
1719792120000,62761.40,62778.70,62753.50,62753.60,131.219,1719792179999
1719792180000,62753.60,62781.60,62734.30,62739.50,245.295,1719792239999
1719792240000,62739.60,62742.40,62714.40,62714.50,117.956,1719792299999
1719792300000,62714.40,62795.60,62714.40,62769.40,179.573,1719792359999
1719792360000,62769.50,62777.90,62736.60,62736.60,123.957,1719792419999
1719792420000,62736.70,62769.90,62736.70,62744.10,100.192,1719792479999
1719792480000,62744.10,62749.20,62704.50,62704.50,97.977,1719792539999
1719792540000,62704.60,62704.60,62635.30,62635.40,571.354,1719792599999
1719792600000,62635.40,62664.70,62602.90,62617.10,261.267,1719792659999
1719792660000,62617.10,62617.10,62571.40,62571.50,278.047,1719792719999
1719792720000,62571.50,62631.20,62562.00,62611.70,198.964,1719792779999
1719792780000,62611.70,62632.40,62577.10,62596.20,221.307,1719792839999
1719792840000,62596.30,62621.90,62596.30,62621.90,94.451,1719792899999
1719792900000,62621.90,62640.00,62611.20,62630.80,121.022,1719792959999
1719792960000,62630.80,62678.80,62625.10,62672.90,186.363,1719793019999
1719793020000,62673.00,62690.00,62638.70,62669.00,101.223,1719793079999
1719793080000,62669.10,62686.70,62661.70,62671.40,72.941,1719793139999
1719793140000,62671.50,62691.90,62671.40,62682.70,81.342,1719793199999
1719793200000,62682.80,62725.70,62682.80,62725.70,242.008,1719793259999
1719793260000,62725.70,62744.00,62715.60,62719.70,110.252,1719793319999
1719793320000,62719.70,62719.70,62686.00,62686.10,52.897,1719793379999
1719793380000,62686.10,62721.60,62681.00,62721.60,43.580,1719793439999
1719793440000,62721.60,62721.60,62660.50,62660.60,48.249,1719793499999
1719793500000,62660.60,62690.70,62660.50,62669.40,50.529,1719793559999
1719793560000,62669.50,62701.50,62669.50,62696.70,42.840,1719793619999
1719793620000,62696.60,62709.90,62692.70,62709.90,53.889,1719793679999
1719793680000,62710.00,62743.00,62710.00,62742.90,70.338,1719793739999
1719793740000,62743.00,62743.00,62709.80,62722.70,74.922,1719793799999
1719793800000,62722.70,62729.00,62677.80,62689.60,80.415,1719793859999
1719793860000,62689.60,62713.60,62681.00,62705.10,70.400,1719793919999
1719793920000,62705.20,62722.70,62701.20,62722.70,33.194,1719793979999
1719793980000,62722.70,62731.40,62722.60,62730.20,45.619,1719794039999
1719794040000,62730.30,62741.70,62724.70,62730.40,77.771,1719794099999
1719794100000,62730.50,62744.80,62702.60,62702.70,89.262,1719794159999
1719794160000,62702.70,62738.00,62701.00,62714.50,65.462,1719794219999
1719794220000,62714.50,62737.80,62714.50,62732.00,52.894,1719794279999
1719794280000,62732.00,62748.50,62732.00,62740.10,46.153,1719794339999
1719794340000,62740.10,62769.10,62740.10,62756.30,79.510,1719794399999
1719794400000,62756.40,62809.40,62756.30,62803.70,164.841,1719794459999
1719794460000,62803.70,62838.40,62803.60,62831.90,219.652,1719794519999
1719794520000,62832.00,62838.40,62790.30,62790.30,92.805,1719794579999
1719794580000,62790.40,62801.10,62778.70,62791.70,51.362,1719794639999
1719794640000,62791.20,62813.40,62790.80,62790.90,60.007,1719794699999
1719794700000,62790.80,62837.00,62786.70,62829.00,96.979,1719794759999
1719794760000,62829.00,62842.90,62828.90,62838.00,77.282,1719794819999
1719794820000,62838.00,62851.00,62832.00,62851.00,86.167,1719794879999
1719794880000,62851.00,62877.90,62850.90,62877.80,105.340,1719794939999
1719794940000,62877.90,62884.00,62845.40,62845.50,140.166,1719794999999
1719795000000,62845.50,62852.40,62845.40,62846.20,60.465,1719795059999
1719795060000,62846.20,62858.00,62843.00,62846.60,117.273,1719795119999
1719795120000,62846.70,62855.50,62842.50,62855.50,123.358,1719795179999
1719795180000,62855.60,62867.70,62838.90,62838.90,107.492,1719795239999
1719795240000,62839.00,62842.40,62792.00,62842.40,200.725,1719795299999
1719795300000,62842.50,62861.30,62842.50,62848.30,53.613,1719795359999
1719795360000,62848.40,62859.60,62842.80,62842.90,40.408,1719795419999
1719795420000,62842.90,62880.10,62842.80,62880.10,47.157,1719795479999
1719795480000,62880.10,62935.20,62880.10,62917.60,215.508,1719795539999
1719795540000,62917.70,62926.50,62914.90,62924.60,95.147,1719795599999
1719795600000,62924.70,62979.00,62924.70,62978.10,251.541,1719795659999
1719795660000,62978.10,62978.10,62926.20,62933.80,186.115,1719795719999
1719795720000,62933.80,62933.80,62881.30,62925.00,263.369,1719795779999
1719795780000,62924.90,62946.00,62911.00,62946.00,86.919,1719795839999
1719795840000,62945.90,62988.80,62945.90,62982.60,229.176,1719795899999
1719795900000,62982.60,63022.60,62975.50,63016.90,293.844,1719795959999
1719795960000,63016.90,63356.00,63016.90,63322.90,4006.411,1719796019999
1719796020000,63322.90,63340.70,63239.10,63265.90,784.476,1719796079999
1719796080000,63265.90,63316.40,63213.90,63294.50,521.945,1719796139999
1719796140000,63294.50,63348.30,63286.90,63299.90,633.369,1719796199999
1719796200000,63299.90,63414.90,63259.00,63371.40,896.348,1719796259999
1719796260000,63371.40,63524.10,63361.80,63478.70,2633.029,1719796319999
1719796320000,63478.70,63686.50,63478.70,63648.00,2391.883,1719796379999
1719796380000,63647.90,63666.00,63518.10,63527.70,1106.407,1719796439999
1719796440000,63527.70,63654.80,63500.10,63642.70,687.188,1719796499999
1719796500000,63642.70,63650.00,63538.50,63542.30,624.913,1719796559999
1719796560000,63542.40,63553.10,63404.10,63428.70,797.925,1719796619999
1719796620000,63428.70,63466.90,63401.50,63438.70,353.108,1719796679999
1719796680000,63438.60,63503.70,63424.10,63485.00,513.594,1719796739999
1719796740000,63485.00,63517.50,63460.30,63469.50,302.928,1719796799999
1719796800000,63469.50,63535.40,63469.50,63508.70,202.501,1719796859999
1719796860000,63508.60,63530.00,63420.00,63424.00,297.161,1719796919999
1719796920000,63423.90,63466.20,63420.00,63433.00,183.303,1719796979999
1719796980000,63433.00,63450.90,63415.00,63450.80,147.715,1719797039999
1719797040000,63450.80,63518.00,63450.80,63475.60,167.762,1719797099999
1719797100000,63475.50,63485.60,63410.00,63443.70,179.544,1719797159999
1719797160000,63443.60,63470.30,63434.10,63458.10,101.282,1719797219999
1719797220000,63458.10,63484.10,63451.00,63451.00,101.106,1719797279999
1719797280000,63451.00,63491.90,63437.40,63484.00,146.347,1719797339999
1719797340000,63484.00,63485.70,63454.10,63475.30,106.311,1719797399999
1719797400000,63475.40,63526.50,63462.10,63503.70,139.497,1719797459999
1719797460000,63503.60,63523.60,63484.40,63514.70,112.691,1719797519999
1719797520000,63514.80,63514.80,63462.90,63487.00,140.427,1719797579999
1719797580000,63487.00,63599.20,63472.10,63472.20,335.079,1719797639999
1719797640000,63472.20,63523.90,63472.10,63503.80,129.308,1719797699999
1719797700000,63503.70,63538.40,63488.00,63522.70,91.305,1719797759999
1719797760000,63523.90,63562.10,63523.90,63555.80,142.471,1719797819999
1719797820000,63555.80,63564.30,63522.70,63546.50,192.685,1719797879999
1719797880000,63546.40,63615.00,63546.40,63605.90,177.438,1719797939999
1719797940000,63605.90,63672.90,63604.30,63604.40,315.796,1719797999999
1719798000000,63604.30,63638.20,63604.30,63604.40,154.539,1719798059999
1719798060000,63604.50,63642.60,63567.00,63567.10,190.660,1719798119999
1719798120000,63567.10,63604.30,63567.00,63589.40,93.104,1719798179999
1719798180000,63589.50,63600.00,63548.80,63558.00,87.735,1719798239999
1719798240000,63558.10,63615.30,63558.00,63615.20,74.729,1719798299999
1719798300000,63615.30,63635.10,63568.10,63590.90,169.847,1719798359999
1719798360000,63591.00,63600.00,63547.80,63582.40,125.308,1719798419999
1719798420000,63582.40,63595.50,63533.70,63556.00,171.243,1719798479999
1719798480000,63556.10,63556.10,63532.10,63546.50,156.377,1719798539999
1719798540000,63546.50,63565.50,63525.00,63565.50,139.557,1719798599999
1719798600000,63565.40,63565.50,63540.40,63552.80,70.777,1719798659999
1719798660000,63552.70,63561.70,63552.70,63559.80,70.103,1719798719999
1719798720000,63559.70,63565.50,63544.70,63548.20,62.130,1719798779999
1719798780000,63548.30,63598.00,63547.80,63595.60,83.520,1719798839999
1719798840000,63595.60,63595.60,63578.90,63591.80,81.325,1719798899999
1719798900000,63591.90,63595.50,63588.40,63592.90,80.863,1719798959999
1719798960000,63593.00,63653.00,63592.90,63652.90,377.036,1719799019999
1719799020000,63653.00,63730.00,63631.50,63638.40,1201.220,1719799079999
1719799080000,63638.40,63663.00,63589.00,63626.20,262.150,1719799139999
1719799140000,63626.30,63646.80,63575.30,63631.90,253.348,1719799199999
1719799200000,63631.90,63674.70,63608.20,63615.30,311.408,1719799259999
1719799260000,63615.30,63616.90,63570.40,63586.00,177.478,1719799319999
1719799320000,63586.00,63646.90,63585.90,63646.80,121.304,1719799379999
1719799380000,63646.90,63713.40,63636.50,63702.90,258.113,1719799439999
1719799440000,63702.90,63800.00,63695.00,63763.80,1126.638,1719799499999
1719799500000,63763.80,63777.00,63735.10,63771.10,255.016,1719799559999
1719799560000,63771.20,63788.50,63713.60,63713.70,240.422,1719799619999
1719799620000,63713.70,63744.60,63706.60,63744.50,179.036,1719799679999
1719799680000,63744.60,63748.10,63688.70,63705.40,138.495,1719799739999
1719799740000,63706.00,63710.30,63658.60,63666.10,169.161,1719799799999
1719799800000,63666.10,63715.70,63655.00,63676.90,194.935,1719799859999
1719799860000,63676.80,63688.90,63147.90,63544.70,2002.989,1719799919999
1719799920000,63544.70,63578.70,63449.60,63505.20,776.088,1719799979999
1719799980000,63505.20,63557.20,63500.30,63504.50,338.566,1719800039999
1719800040000,63504.50,63530.40,63502.20,63505.10,167.115,1719800099999
1719800100000,63505.10,63546.20,63505.00,63533.50,323.503,1719800159999
1719800160000,63533.60,63567.50,63518.20,63567.50,151.922,1719800219999
1719800220000,63567.40,63603.60,63545.20,63549.10,182.540,1719800279999
1719800280000,63549.10,63582.30,63529.30,63544.40,137.714,1719800339999
1719800340000,63544.50,63553.60,63525.50,63549.90,68.672,1719800399999
1719800400000,63549.90,63574.60,63520.40,63520.40,66.940,1719800459999
1719800460000,63520.50,63578.10,63520.50,63572.00,79.390,1719800519999
1719800520000,63572.00,63572.00,63539.60,63566.20,56.961,1719800579999
1719800580000,63566.30,63566.30,63518.20,63525.90,83.883,1719800639999
1719800640000,63525.90,63534.50,63508.00,63529.20,80.332,1719800699999
1719800700000,63529.30,63570.10,63518.00,63522.90,138.211,1719800759999
1719800760000,63522.90,63569.80,63522.80,63560.90,85.489,1719800819999
